mean,std,ptp,slope,zcr,spike_count,hjorth_mobility,hjorth_complexity,rms_first_diff,cluster
1.6841035,0.002909997,0.016777039,1.644036e-05,0.32,0.05,0.9889006,1.2764925,0.0028777448,0
1.6839821,0.0017602786,0.010704875,-3.236795e-06,0.35,0.04,0.9737294,1.2843579,0.0017142274,0
1.6836003,0.0012235179,0.0077944994,-8.028679e-06,0.3,0.01,1.0014788,1.182524,0.0012254326,0
1.6837698,0.002092751,0.01704657,1.6126241e-05,0.33,0.02,0.97893447,1.2675304,0.0020493846,0
1.6840329,0.0022007173,0.016505241,1.6893333e-06,0.3,0.03,0.95006436,1.3076615,0.0020908404,0
1.6836648,0.0014399666,0.010711789,-1.0390772e-05,0.34,0.01,0.9308452,1.3537041,0.0013403822,0
1.6835867,0.0021152762,0.01781094,4.103141e-06,0.41,0.01,0.9631174,1.3470473,0.002037281,0
1.6834178,0.0025345876,0.01972115,-1.1126692e-05,0.38,0.03,0.9039571,1.4047233,0.0022911546,0
1.683304,0.0019046643,0.012200236,8.089409e-06,0.32,0.04,0.9046166,1.3887008,0.0017230295,0
1.6834584,0.0016961604,0.012160778,1.5002458e-06,0.28,0.03,0.906386,1.3601446,0.0015375668,0
1.6829917,0.0017670916,0.013721943,-1.126874e-05,0.34,0.02,0.9314037,1.3673714,0.0016458723,0
1.6825937,0.0014653155,0.007865548,-1.3222195e-06,0.35,0.03,1.0517577,1.2642848,0.0015412584,0
1.6825914,0.0019917707,0.016518712,-3.379551e-06,0.37,0.01,0.96212023,1.2954847,0.0019163555,0
1.6834319,0.0028189097,0.016518712,1.8909222e-05,0.24,0.03,0.8466251,1.371686,0.002386599,0
1.6843678,0.002880096,0.015806556,3.1804016e-06,0.26,0.05,0.9686596,1.2769433,0.0027898334,0
1.6851741,0.0028320877,0.018827915,2.7501153e-05,0.26,0.03,0.96738106,1.3005879,0.0027398965,0
1.6862828,0.0026088373,0.01716721,1.9272478e-05,0.33,0.04,0.9615378,1.2988801,0.0025086405,0
1.6862013,0.0021052787,0.012351871,-1.2921612e-05,0.39,0.04,0.9997585,1.2358304,0.0021057373,0
1.6863631,0.0028875961,0.015812278,1.6983002e-05,0.25,0.03,0.7970919,1.5066018,0.002302389,0
1.686179,0.002930272,0.015812278,-2.8908315e-05,0.24,0.03,0.7523677,1.6604228,0.0022052987,0
1.685754,0.0016499682,0.011322975,1.1940087e-05,0.35,0.02,1.0480714,1.2046562,0.0017304065,0
1.6869304,0.0030307705,0.016195893,1.8051158e-05,0.25,0.03,0.7382739,1.4666787,0.0022378517,0
1.6869992,0.002938379,0.015747428,-2.1510685e-05,0.23,0.02,0.64958197,1.6250576,0.0019119685,0
1.6865358,0.0033849096,0.022605062,1.8180082e-05,0.26,0.02,0.897189,1.2113571,0.0030369018,0
1.6857579,0.00379002,0.026574612,-1.8027937e-05,0.24,0.02,0.85073227,1.3292192,0.0032244506,0
1.6846405,0.0021506837,0.0154562,1.7281205e-06,0.25,0.04,0.90718704,1.34005,0.0019514457,0
1.6843703,0.001713545,0.011956215,-9.066418e-06,0.33,0.03,0.94590855,1.3220447,0.0016209477,0
1.6846577,0.0024202594,0.020546794,2.3101888e-06,0.37,0.01,0.8859618,1.4062428,0.0021444962,0
1.6851051,0.0032917992,0.01959467,1.513239e-07,0.31,0.04,0.93039244,1.3558464,0.0030629518,0
1.6850876,0.002960788,0.018845439,4.84373e-06,0.31,0.04,0.98760355,1.27964,0.0029241112,0
1.6853048,0.002452576,0.016572952,1.6157404e-05,0.19,0.03,0.73977864,1.6719804,0.0018146719,0
1.6868991,0.004096241,0.023921251,5.091014e-05,0.26,0.04,0.7079076,1.7095845,0.0028997555,0
1.6870193,0.0042005116,0.021000385,-3.4626733e-05,0.26,0.05,0.83784324,1.4653993,0.0035193663,0
1.6861273,0.0032387397,0.019778132,2.1052074e-06,0.33,0.03,1.0071198,1.2296528,0.0032618071,0
1.6860054,0.0031316406,0.01781118,-2.899246e-05,0.28,0.04,1.0062684,1.2157027,0.0031513006,0
1.6857387,0.0022468942,0.015905261,2.709071e-06,0.33,0.04,1.015965,1.2248895,0.0022829024,0
1.6859426,0.0012677849,0.007475376,1.7444178e-06,0.33,0.06,1.0461919,1.2127644,0.0013267957,0
1.6865622,0.0021369974,0.016488671,2.675244e-05,0.32,0.01,0.82904387,1.4234778,0.0017755653,0
1.6872644,0.0023566114,0.01734209,6.44394e-06,0.32,0.03,0.95963526,1.3129938,0.0022615488,0
1.684801,0.012293337,0.061352253,-8.382948e-05,0.23,0.06,1.0905429,1.0735524,0.013410768,0
1.6847187,0.020064818,0.07854009,7.6495264e-05,0.37,0.04,1.14058,1.0332798,0.02288751,0
1.6861836,0.021632865,0.0763886,-3.1953514e-05,0.39,0.04,1.1646154,1.0117933,0.025195356,0
1.6855342,0.02094996,0.072677135,-1.3674099e-05,0.39,0.02,1.1678025,1.0087667,0.024467578,0
1.6864305,0.020108229,0.06918824,1.151318e-05,0.41,0.02,1.1807814,1.0121248,0.023743762,0
1.6880494,0.018439671,0.07904184,7.728237e-05,0.38,0.03,1.1369896,1.088557,0.020965742,0
1.6851144,0.018485708,0.083301425,-8.869413e-05,0.36,0.04,1.1059119,1.1685262,0.020443974,0
1.6846132,0.014402465,0.07342887,0.00010251293,0.36,0.04,1.1345836,1.1699672,0.016340803,0
1.6876422,0.006062963,0.047882557,-1.7132561e-05,0.25,0.06,1.1120394,1.2002673,0.0067424024,0
1.6856412,0.013731854,0.07285917,-4.5295325e-05,0.39,0.07,1.1883036,1.0425841,0.016320664,0
1.6863136,0.020859847,0.13657868,5.5768112e-05,0.34,0.02,1.1672677,1.0565871,0.024349025,0
1.6875819,0.01610064,0.13657868,-4.4576496e-05,0.17,0.03,1.1325142,1.0758107,0.018234309,0
1.687039,0.0036185046,0.022370815,1.6347904e-05,0.31,0.03,0.90421194,1.348612,0.0032725036,0
1.6872797,0.0033332256,0.01947987,-5.021995e-06,0.27,0.04,0.9202513,1.3589671,0.0030677887,0
1.6870617,0.003135445,0.019913316,-1.1709535e-05,0.34,0.02,0.84760684,1.4707829,0.0026616948,0
1.6877055,0.0024127786,0.017849445,2.4330207e-05,0.27,0.03,0.9262262,1.3287747,0.0022349632,0
1.6888553,0.0025382638,0.015186787,1.4607777e-05,0.31,0.03,0.996408,1.2419417,0.0025295396,0
1.6889974,0.0031229807,0.01704228,-2.9929765e-06,0.36,0.06,0.9776085,1.2772914,0.0030530666,0
