pc1,pc2,pc3,cluster
0.069368355,0.07648872,0.16144839,0
-0.12081141,0.22907418,0.10219754,0
-0.2949276,-0.11040085,0.2928732,0
-0.55235165,-0.48155543,0.2089448,0
-1.2277219,-0.34879687,-0.08937506,0
0.075749986,-0.92780876,0.23592372,0
0.74980485,-1.1991671,0.37667665,0
1.659735,-0.25337395,0.5428744,1
1.5761191,-0.15165251,0.7509029,1
-0.065298736,-0.62637657,0.25468338,0
1.6925532,-1.9337852,0.10804381,1
-0.23417975,-0.99746436,-0.15983391,0
-1.2264236,-0.32492372,-0.21072122,0
3.0358984,-2.027171,0.3816804,1
3.0711257,-1.7336556,0.71377075,1
3.8599265,-0.5921893,-0.20191486,1
6.5316186,0.425877,-2.8419802,2
6.162658,0.8872656,2.351856,1
2.3152955,0.45292038,1.5431821,1
1.8279401,-0.93554837,1.1138172,1
4.4412465,-0.33589292,-0.26359192,1
8.120899,0.17452817,-3.7784836,2
4.9134607,-0.5638532,-0.5949259,1
5.690371,-1.1095073,1.0343295,1
3.203735,-2.0372295,0.8834749,1
-0.51278454,-0.76877546,0.38718575,0
-1.0823743,-0.5528748,0.18463226,0
-1.0036137,-0.5919321,0.16479786,0
-0.5600747,-0.7676393,0.35100344,0
-1.0311328,-0.27977115,0.19643168,0
0.25008768,-1.0048007,0.49413803,0
2.0152328,-2.1407242,0.68762106,1
1.7445469,-2.1589394,0.20350792,1
-0.4821295,-0.8307287,-0.06359449,0
-0.95320225,-0.44017377,-0.06915272,0
-0.8143611,0.9870523,0.15050691,0
2.3513763,0.7013187,0.247553,1
2.462681,1.3728026,-0.12223167,1
2.7343879,1.6363459,1.2000933,1
2.6552005,1.5504167,0.86795866,1
2.2594147,0.35858712,0.2527793,1
-1.3948745,0.18388407,-0.3949006,0
-1.0857761,-0.085922875,-0.36190066,0
-0.80182093,-0.19168684,-0.22465898,0
-0.6524099,-0.32126176,-0.12441022,0
-1.4456897,-0.007355498,-0.32287097,0
-0.22627495,-0.77297497,-0.05649163,0
-1.6833725,0.32005993,-0.34833288,0
-1.3966076,-0.019112863,-0.31337503,0
-1.1991179,-0.3088963,-0.24549964,0
-1.6797428,0.24909745,-0.29028052,0
-1.3696775,-0.032000225,-0.2315907,0
-1.7857606,0.036014833,-0.40521485,0
-1.5449886,-0.18583599,-0.28000507,0
-1.3998189,0.09530975,-0.2600264,0
-1.5435423,0.21362886,-0.2774255,0
-1.3400701,-0.2745749,-0.17828469,0
-1.376683,-0.05126438,-0.17643438,0
-1.1614932,-0.25157702,-0.15198563,0
-1.6062692,-0.002382636,-0.24004245,0
-1.4586862,-0.11399704,-0.24172257,0
-1.2442487,-0.2652068,-0.2046228,0
-1.5007604,-0.028420098,-0.29854968,0
-1.6009446,-0.039789937,-0.3384893,0
-1.5382001,-0.109376825,-0.2770298,0
-1.6162449,0.0353261,-0.27906978,0
-2.0897007,0.5576499,-0.3944081,0
-1.7839069,0.2923518,-0.3452693,0
-1.3589698,-0.28138658,-0.270254,0
-1.2651119,-0.22219214,-0.22189839,0
-1.3485379,-0.1541088,-0.26628315,0
-1.8156824,0.18699268,-0.33735254,0
-1.7081932,0.1635504,-0.29004124,0
-1.3354982,0.0010091919,-0.17378706,0
